Comment_Id,Product_Id,Comment_Content,Comment_Evaluation
33743,1849,Ïncecik bir penye dokusu guzel ama değisimle ugrasmiycam3 yildiz cok bile .ürun kargoya verilmeden beden değisikligi istedim onu bile zahmet edip kabul etmediler.Almayin yada duzgun birsey alin yazik paraniza🤨,3
9679,437,1 beden büyük alınmalı,3
41207,3291,model oversize AMA neden KISA? iade ettim,3
37442,2545,İndirimdeyken alınabilecek bir Mayo. Rengi çok tatlı göründüğü gibi sağlam bir şekilde teslim edildi. Kargo süreci çok hızlıydı.,4
4101,173,Erkek arkadaşima hediye almiştim çok begendi us polo kaliteden şaşmaz,5
27435,1403,"Həyat yoldaşıma aldıq,çox bəyəndi.Üzerinde duruşu çox güzel",5
5095,216,fazla rahat kesim onun dışında güzel ama malesef iade,3
41938,3434,5 para etmez,1
34385,1970,begenemedim ne yazık ki,2
6347,271,evde çok rahat bedenini Alın,3
42667,3628,sevdim. modeli güzel,3
8520,374,Çok beğenerek aldım ve beğendigim kadar var.Teslimat süresi beklediğimden daha hızlı gerfekleşti.Teşekkürler.,5
30969,1618,harikaa bayıldım ve toparlayıcı,5
24607,1246,böyle geldi 💔💔,1
30703,1603,Çok iyi çok,5
34381,1969,kızıma aldım kalite fena değil. okul için kullanıyor..,3
14807,696,Xl aldım boyu kısa,1
5275,223,Çok iyi ve rahat şık da duruyo tavsiye ederim,5
38993,2842,malesef rengi göründüğünden daha farklı geldi onun dışında iyi,3
28955,1514,Urun guzel fakat astar atmis ti giydigimde dikise tam tutturmadiklari icin beden iyiydi 158 boy 72 kg tam oldu ama iade ettim,4
25959,1324,tam beden takım yaptım harika oldu,5
1329,48,Ürün çok güzel babalar gününe aldım avva kalitesi,5
7988,347,Eşime aldım sürekli üstünde kalitesi kesimi rengi harika,5
27263,1392,"Hayatımda gördüğüm en saçma şey, önden aynı elbiseyi alıyorsunuz arkasının uzaktan yakından alakası yok.",1
40428,3124,Bir beden büyük alınabilir çok dar,3
30239,1581,arkadasıma hediyr aldım begendi. kalitesi de güzel,5
34137,1922,beyendim guzel,4
40465,3132,165 boy 62 kiloyum 40 bedeni kaldığı için onu alıp bir denemek istemiştim ama çok çok bol oldu 36 almam gerekirmiş fotoğraftaki gibi durması için. kolları da söylendiği gibi bol. indirimde görüp almıştım eğer 36sını görürsem tekrar alıp denemek istediğim bir ürün. şimdilik iade edeceğim. kendi bedeninizden küçük alabilirsiniz bence.,4
39466,2938,Etek güzel ama fazla kilolu gösteriyor,3
6820,294,M beden aldım tam oldu 166 67 kiloyum yeri duruşu kalitesi efsane,5
16134,775,Tam bedeninizi almanızı öneriririm. Çok rahat bir elbise,5
30413,1588,çok kaliteli bir ürün,5
25336,1293,"Fiyatına göre gerçekten çok kaliteli bir ürün. Kilom 55, kalçam 104, normalde 38 giyerdim ama 40 tercih ettim ve daha iyi oldu. Alırken arkanızı tam kapatması için bir beden büyük alabilirsiniz.",5
9684,437,Ürün çok güzel çok tatlı severek giyiyorum tavsiye ederim,5
30262,1582,📌 Ürünü 259 tlye aldım ama ben aldıktan sonra 209a düştü. 📌Normalde 26-27 beden arası gitmeme rağmen yorumlara bakarak 25 beden aldım o bile dar gelmedi 📌 Kesinlikle 1 yada 2 beden küçük alınmalı 📌Ürünün arka kısmı çok hoş dururken ön kısmı aşırı kötü duruyor. Yapısı likralı olduğu için ağ kısmında potluk var. Kullandıkça daha da kötü olacağı için geri verdim😕,2
2218,84,kızım cok beğendi üzerinen cıkar.ıyor 🤣,5
35659,2216,indirimden 30 TL ye aldifim harika bi tisort yanliz 1 beden küçük alin,4
7391,321,Güzel bi ürün tavsiye ederim,5
31115,1627,İndirimden almıştım. Çok güzel kumaşı. Hiçbir şey olmadı. 53 kilo normalde m giyiyorum ama L aldım. İyiki de öyle almışım tam üstüme oturdu. Kalıbı dar,5
42092,3461,ürün yırtık geldi kotondan hep sipariş ettigimde iade etmek zorunda kalıyorum bir daha asla etmem,1
35372,2161,sıcacık ve kaliteli bir mont,3
5578,241,👍🏻👍🏻👍🏻,5
37964,2646,ürün çok bol,1
12410,571,oğlum için aldım.cok beğendi,5
41589,3369,Renk cok güzel modelini sevmedim,2
39369,2921,Ürünün kalitesini beğenmedim iade ediyorum,2
41634,3377,63 kiloyum 40 beden aldım tam oldu. belden aşağıya doğru kloş bir elbise. kumaşı çok ince. günlük hayatta değilde tatil yerlerinde giyilebilir.,3
33566,1812,"Ürünün tarafıma ulaşması 8 gün sürdü.Kargoda geçen süre 2 gün,defactonun ürünü hazırlayıp kargoya vermesi 6 gün,şaka gibi.E ticareti beceremiyorsanız yapmayın",1
8651,381,çok rahat çok güzel,5
33796,1859,Kalıbı dar ve boyu uzun. 32 / 30 aldım ama sanki 30 / 32 gibi,3
31026,1621,çok kaliteli bir ürün sırf büyük geldi diye iade ettim,5
21334,1069,Cok guzel geldi🥰,5
22615,1141,Harika en tatlı gömleğim oldu🥰🥰,5
19458,966,Çok güzel.,5
18872,932,eşime aldım fiyatına göre gayet kaliteli bir ürün,5
31314,1639,Arkadaşım için aldım çok begendim kendime ve kardeşimede alacagım🥰,5
15746,751,Çok güzel kapalıyım ve elbiseler için çok sıcak olmaya başlamıştı.Hamileyseniz kesinlikle dolapta bulunmalı,5
5300,226,harika bir ürün,5
26496,1354,salaş tam istediğim gibi oldu,4
15634,743,Beğenerek kullanıyorum.,5
22133,1112,çok güzel fakat beden büyük geldiği için hiç istemeyerek iade ettim,5
37854,2624,İç belli ettiği için bir puan kırdım astarla hallolur.. onun dışında çok hoş,4
30429,1590,Çok güzel 👍,5
29357,1538,Sadeeee 😍😍😍,5
24399,1236,çok iyi ürün,4
18012,884,Güzel bir şort . Yüksek belli .,5
26511,1354,"ürünün ilk yıkanmasında maalesef ön kısmında bir delik meydana geldi, aynı markadan başka tişört aldım,onda sıkıntı yok.Çok üzüldüm.",1
32885,1734,Süper bi elbise,5
31124,1628,Mavi kalitesi başarılı ürün beğendik,5
43834,4088,Hiç beğenmedim. İade,1
21323,1069,Çok tatlı ve rahat,5
8612,380,Askıları bir tuhaf sevemedim.,1
43663,3943,Bacak kısmı çok geniş,3
16161,776,bol kesim hoşuma gitmedi iade ettim,3
19912,984,İç gösteriyor,2
23027,1165,harika bir ürün,5
26354,1347,Çok güzelllll,5
2924,117,Mavi kalitesi şahane. Kendi bedeninizi alabilirsiniz.Salaş bir duruşu var.,5
17575,858,Ürün çok cool ve çok hoş kaliteli gönül rahatlığıyla alınabilir,5
39641,2968,"40 bedenim ve 40 beden aldım, ama ürün sanki 44-46 beden gibi o kadar büyük ki anlatamam. 40 beden olanlar dahil herkes 34 alsın başka türlü olmaz",1
30980,1619,tek kelimeyle muhteşem,5
24700,1251,"Muhtesem bir kalip, kumasi yumusacik, kac defa yikamama ragmen bozulmadi. Tesekkur ederim.",5
33529,1802,xs aldim ama terziye vereceğim daraltmak için. beden fazla büyük. bir beden küçük alabilirsiniz. onun dışında rengi modeli güzel.,4
28614,1496,Rahat kullanışlı tam beden alın,5
2405,91,çok kaliteli bol kesim ve ince kendi bedeninizi alın,5
3518,146,"171 boy 67 kilo M aldım, büyük oldu, kardeşime verdim. kalitesi iyi.",5
17410,848,Çok şeker tatlı bir bluz memnun kaldım,5
28049,1466,ürünü begendik,5
28869,1510,70 kilo 1.70 boy bana 30/29 beden oldu. guncelliyorum çok kötü oldu rengi soldu ve boyu uzun katlayinca biçimsiz duruyor,2
4098,173,tam bedeninizi alin acayip gizel eşime aldim,5
17348,846,Tam üstüme oldu çok iyi bir şey tavsiye ederim,5
37096,2480,kötüüuuuuu,1
28094,1471,Babama aldım çok begendi,5
5500,236,Beğendim. Materiali güzel. Rengi canlı. Kendi bedeninizi alın,5
41223,3297,"Ürün 1.70 boylarındaysanız bayagı uzun, battaniye gibi, düğmeli olması dezavantaj. Burada yazmıyor, söyleyeyim, yıkanmıyor veya kuru temizleme yok, sadece siliniyormuş. Bana hiç uymuyor, o yüzden iade ettim. Ama sıcak tutabilir.",3
20139,1001,Sert bir kot giymesi zor ama rengi modeli güzel,3
25449,1297,çok beğendim tavsiye ederim,5
37526,2561,Bu fiyata güzel ve kaliteli,3
12272,565,Annem için aldım kumaşı çok güzel tavsiye ederim,5
20998,1051,kurtarıcı bir parça,5
21750,1093,Mükemmel kendi bedeninizi alabilirsiniz:),5
572,21,harika ürün teşekkürler,5
35338,2154,Kalıbı çuval gibi en küçük bedenini almama rağmen,1
18150,892,bayillldiiiiimmmmm,5
20297,1012,Kendi bedenimi aldım bol oldu ama yine de iade etmeyeceğim. Bol olmasını istemeyenler bir beden küçüğünü alabilir.,4
40859,3223,İlk defa adam akıllı bir tuluma girebildim. Büyük beden seçenekleri olması çok iyi olmuş. Teşekkürler koton. Tek sıkıntısı koltuk altı fazla açık oldu bunu belirtmem lazım.,4
26939,1375,Gayet güzel,4
3517,146,Görseldeki gibi geldi tam bedeninizi alın.,5
26575,1358,kumaşı pek kaliteli değil ama duruşu güzel rahat,4
23933,1211,Güzel beğendik,5
37039,2472,Sevdim resimdeki gibi,4
40856,3220,"Duruşu kumaşı çizgileri ucuz durmayan bir gömlek, burada yazmıyor fakat gönderilen gömlekler slim fit. 175 boy 69 kg’ye small tam oturdu, medium tercih edilebilir. yanlış ürün gönderilmesinden dolayı iade ettim.",2
18333,900,harika urun,5
27307,1394,Çeyizim için çok güzel bie indirimden aldım tavsiye ediyorum,5
41188,3285,Normalde 38 ya da 40 beden giyiyorum ama bu aşırı bol geldı iade edicem siyahını aldım 34 beden hafif uzun güzel,4
564,21,Kardeşime aldım çok beğendi,5
13683,637,çok kullanışlı,5
43003,3742,arkası çok açık oturmuyor,3
40928,3237,bence rezil bir ürün,1
37770,2611,Penyesi çok ince rahat kalıp günlük kullanım için uygun.Genel olarak beğendim kendi bedeninizi alabilirsiniz,4
19066,944,62 kg M almistim cok bol geldi. omuzlari dusuyor. Kalip buyuk.Yapismasi gereken bir model o yuzden bir beden kucuk alin,4
38882,2819,Kalitesi güzel fakat çok bol xs bedenini almama rağmen,3
41532,3357,Bedenleri büyük ama kumaş kalitesi güzel,4
4916,207,"160 boy 57 kiloyla s beden aldım, geniş bile oldu, kapalı olduğum için boyu ideal dizkapakta, ince kumaş, kol boyu uzun, zevle kullanacağım 🤗",5
24951,1272,eşime aldım çok beğendi,5
7704,336,48 kiloyum xs tam oldu,5
9279,410,Erkek arkadaşıma aldım çok beğendi kumaşı kaliteli mükemmel tam bedeninizi alabilirsiniz,5
28207,1475,Kumaş kalitesi çok güzel kendi bedenimi aldım vücudu sarıyor genel olarak güzel,5
20391,1019,Harika bayıldım Tam bedenimizi alın derim.Boydan kısa bilginize.,5
